57,IUNGO,2021-06-01,2021-06-25,2021-06-25,1447.81
56,CLARO,2021-06-24,2021-07-05,2021-07-05,272.88
55,NEMAG,2021-06-21,2021-06-10,2021-06-10,3992.0
54,"INGRAM MICRO BRASIL LTDA",2021-06-21,2021-07-17,2021-07-17,45.28
53,"TOTVS S.A.",2021-06-16,0021-06-05,0021-06-05,181.37
52,"TOTVS S.A.",0021-05-11,0021-06-14,0021-06-14,4848.64
51,"TOTVS S.A.",2021-05-11,0021-06-18,2021-06-18,6945.92
50,"THE BLUE SKY",2021-06-16,2021-06-25,2021-06-25,750.0
49,"LOGITHINK LABS LTDA",2021-06-11,2021-06-11,2021-06-11,449.09
48,"INGRAM MICRO BRASIL LTDA",2021-06-11,2021-07-08,2021-07-08,551.47
47,"To A T",2021-06-04,2021-06-18,2021-06-18,12017.5
46,"RP COPIADORAS",2021-06-08,2021-06-15,2021-06-15,399.0
45,"RP COPIADORAS",2021-06-08,2021-06-15,2021-06-15,2311.06
44,NEO-TAGUS,2021-06-01,2021-06-14,2021-06-14,122.76
43,NEO-TAGUS,2021-06-01,2021-06-14,2021-06-14,116.98
42,NEO-TAGUS,2021-06-02,2021-06-14,2021-06-14,98.0
41,"ACACIA CONSULTORIA",2021-06-04,2021-06-25,2021-06-25,2216.11
40,NEMAG,2021-06-01,2021-06-02,2021-06-02,920.0
39,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-06-01,2021-06-20,2021-06-21,1035.22
38,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-06-01,2021-06-15,2021-06-15,268.28
37,"TELEFONICA BRASIL S.A.",2021-05-15,2021-06-01,2021-06-01,449.44
36,"ECONET EDITORA E CONSULTORIA EMPRESARIAL",2021-05-06,2021-06-06,2021-06-07,258.38
35,"INGRAM MICRO BRASIL LTDA",2021-05-25,2021-06-18,2021-06-18,47.61
34,CLARO,2021-05-25,2021-06-05,2021-06-07,272.88
33,"INTEMOBILE DO BRASIL LTDA",2021-05-17,2021-06-17,2021-06-17,5240.0
32,"THE BLUE SKY",2021-05-16,2021-05-25,,750.0
31,"NEXXERA MERCANTIL",2021-05-03,2021-05-25,2021-05-25,64.4
30,"NEXXERA MERCANTIL",2021-05-03,2021-05-25,2021-05-25,59.9
29,"LOGITHINK LABS LTDA",2021-05-07,2021-06-07,2021-06-07,449.09
28,"ECONET EDITORA E CONSULTORIA EMPRESARIAL",2021-04-01,2021-05-16,2021-05-17,243.75
27,CLARO,2021-04-05,2021-05-22,2021-05-22,75.28
26,CLARO,2021-04-04,2021-05-22,2021-05-22,2523.0
25,"TELEFONICA BRASIL S.A.",2021-04-01,2021-05-15,2021-05-17,147.1
24,"TELEFONICA BRASIL S.A.",2021-04-14,2021-05-01,2021-05-01,450.0
23,CLARO,2021-04-01,2021-05-05,2021-05-05,214.55
22,IUNGO,2021-05-01,2021-05-25,2021-05-25,1263.64
21,"LOGITHINK LABS LTDA",2021-04-08,2021-05-05,2021-05-05,449.09
20,"THE BLUE SKY",2021-05-16,2021-05-25,2021-05-25,750.0
19,"INGRAM MICRO BRASIL LTDA",2021-04-08,2021-05-06,2021-05-06,544.0
18,"INGRAM MICRO BRASIL LTDA",2021-04-19,2021-05-17,2021-05-17,50.61
17,"INGRAM MICRO BRASIL LTDA",2021-05-07,2021-06-04,2021-06-04,529.45
16,"RP COPIADORAS",2021-05-06,2021-05-13,2021-05-13,1943.46
15,"RP COPIADORAS",2021-05-06,2021-05-13,2021-05-13,399.0
14,NEO-TAGUS,2021-05-04,2021-05-14,2021-05-14,122.76
13,NEO-TAGUS,2021-05-04,2021-05-14,2021-05-14,116.98
12,NEO-TAGUS,2021-04-07,2021-05-17,2021-05-17,98.0
11,"INTEMOBILE DO BRASIL LTDA",2021-04-16,2021-05-16,2021-05-17,5240.0
10,"ACACIA CONSULTORIA",2021-05-03,2021-05-25,2021-05-25,2216.11
9,NEMAG,2021-05-04,2021-05-10,2021-05-10,4715.0
8,NEMAG,2021-05-01,2021-05-10,2021-05-10,3992.0
7,"To A T",2021-05-10,2021-05-20,2021-05-20,15965.0
6,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-05-03,2021-05-15,2021-05-17,268.28
5,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-05-03,2021-05-20,2021-05-25,1035.22
4,"TOTVS S.A.",2021-04-13,2021-05-14,2021-05-14,4848.64
3,"TOTVS S.A.",2021-04-13,2021-05-18,2021-05-18,6270.79
2,"TOTVS S.A.",2021-04-13,2021-05-05,2021-05-05,181.37
1,"To A T",2021-04-01,2021-04-21,2021-04-21,16200.0
