Produto,Item.,Rot.,Und.,"End. Sep.","Qtde Liberada",Picking,Revisão,Ressuprimento,"Qtde Geral Disp.","Transito de Saida","Total Geral",Status
1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",A,CX,2.A.99.1,0,15,0,15,15,0,30,Ressuprimento
1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",D,CX,2.A.114.1,1760,-80,0,0,1760,0,1680,Liberado
1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",D,CX,2.A.114.1,0,0,0,0,0,40,0,"Trânsito de Saída"
1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",D,CX,2.A.114.1,0,0,80,0,0,0,0,Revisão
1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",D,CX,2.A.114.1,0,158,0,158,158,0,316,Ressuprimento
1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",E,CX,2.A.110.1,360,42,0,0,360,0,402,Liberado
1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",E,CX,2.A.110.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",E,CX,2.A.110.1,0,0,242,0,0,0,0,Revisão
1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",E,CX,2.A.110.1,0,60,0,60,60,0,120,Ressuprimento
1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",B,CX,2.A.100.1,1833,-80,0,0,1833,0,1753,Liberado
1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",B,CX,2.A.100.1,0,0,0,0,0,156,0,"Trânsito de Saída"
1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",B,CX,2.A.100.1,0,0,195,0,0,0,0,Revisão
1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",B,CX,2.A.100.1,0,156,0,156,156,0,312,Ressuprimento
1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",D,CX,2.A.115.1,1800,-109,0,0,1800,0,1691,Liberado
1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",D,CX,2.A.115.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",D,CX,2.A.115.1,0,0,85,0,0,0,0,Revisão
1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",D,CX,2.A.115.1,0,159,0,159,159,0,318,Ressuprimento
1501.25.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 12X01L",D,CX,2.A.111.1,900,-37,0,0,900,0,863,Liberado
1501.25.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 12X01L",D,CX,2.A.111.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.25.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 12X01L",D,CX,2.A.111.1,0,0,60,0,0,0,0,Revisão
1501.25.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 12X01L",D,CX,2.A.111.1,0,120,0,120,120,0,240,Ressuprimento
1601.24.12X500,"LIMP.PERF.PORTAL/SUPREMA ELEGANCE-12X500ML",E,CX,2.A.119.1,998,-39,0,0,998,0,959,Liberado
1601.24.12X500,"LIMP.PERF.PORTAL/SUPREMA ELEGANCE-12X500ML",E,CX,2.A.119.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1601.24.12X500,"LIMP.PERF.PORTAL/SUPREMA ELEGANCE-12X500ML",E,CX,2.A.119.1,0,0,560,0,0,0,0,Revisão
1601.24.12X500,"LIMP.PERF.PORTAL/SUPREMA ELEGANCE-12X500ML",E,CX,2.A.119.1,0,180,0,180,180,0,360,Ressuprimento
1601.26.12X500,"LIMP.PERF.PORTAL/SUPREMA DELICATO-12X500ML",E,CX,2.A.118.1,990,-14,0,0,990,0,976,Liberado
1601.26.12X500,"LIMP.PERF.PORTAL/SUPREMA DELICATO-12X500ML",E,CX,2.A.118.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1601.26.12X500,"LIMP.PERF.PORTAL/SUPREMA DELICATO-12X500ML",E,CX,2.A.118.1,0,0,360,0,0,0,0,Revisão
1601.26.12X500,"LIMP.PERF.PORTAL/SUPREMA DELICATO-12X500ML",E,CX,2.A.118.1,0,180,0,180,180,0,360,Ressuprimento
1601.27.12X500,"LIMP.PERF.PORTAL/SUPREMA ROSA VENTOS-12X500ML",E,CX,2.A.117.1,1230,-84,0,0,1230,0,1146,Liberado
1601.27.12X500,"LIMP.PERF.PORTAL/SUPREMA ROSA VENTOS-12X500ML",E,CX,2.A.117.1,0,0,0,0,0,0,0,"Trânsito de Saída"
