Endereço,Produto,Descrição,Qtde,"Cxs Pallet"
2.E.12.1,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.12.2,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.12.4,"1101.01R12X1,5","ALVEJANTE SUPREMA ULTRA REMOCAO-12X1,5L",40.0,40
2.E.13.1,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",40.0,40
2.E.13.2,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.E.13.3,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.13.4,"1101.01R12X1,5","ALVEJANTE SUPREMA ULTRA REMOCAO-12X1,5L",40.0,40
2.E.14.1,1301.19.03X05L,"DESINF.SUPREMA FLORES DO CAMPO 03X05L",42.0,42
2.E.14.2,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.14.4,1501.24.12X01LE,"LAVA ROUPAS SUPREMA AZUL - 12X01L EXP",60.0,60
2.E.15.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.15.2,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.15.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.15.4,1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",60.0,60
2.E.16.1,1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",60.0,60
2.E.16.2,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.16.3,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.16.4,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.17.1,1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",72.0,72
2.E.17.3,1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",60.0,60
2.E.17.4,1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",40.0,40
2.E.18.1,1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",39.0,39
2.E.18.2,1501.24.12X01LE,"LAVA ROUPAS SUPREMA AZUL - 12X01L EXP",60.0,60
2.E.18.3,4001.25.03X05L,"CLORO SUPREMA 2,5 - 03X05L",56.0,56
2.E.18.4,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.19.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.19.2,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.19.3,1701.02.12X500,"DESENGORDURANTE SUPREMA SQUEEZE 12X500ML",85.0,85
2.E.19.4,1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",40.0,40
2.E.20.1,1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",39.0,39
2.E.20.2,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.20.3,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.20.4,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.21.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.21.2,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.21.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.21.4,1501.25.06X03LE,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L EXP",40.0,40
2.E.22.1,"1101.01R12X1,5","ALVEJANTE SUPREMA ULTRA REMOCAO-12X1,5L",40.0,40
2.E.22.2,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.22.4,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.23.1,1501.25.06X03LE,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L EXP",40.0,40
2.E.23.3,1301.18.06X02L,"DESINF.SUPREMA LAVANDA BOUQUET-06X02L",60.0,60
2.E.23.4,"1101.01R12X1,5","ALVEJANTE SUPREMA ULTRA REMOCAO-12X1,5L",40.0,40
2.E.24.1,1801.02.12X500,"LIMPA VIDROS SUPREMA SQUEEZE - 12X500ML",85.0,85
2.E.24.2,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.24.3,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.24.4,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.25.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.25.2,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.25.3,1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",60.0,60
2.E.25.4,1501.25.06X03LE,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L EXP",40.0,40
2.E.26.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.26.2,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.26.3,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.26.4,1501.25.06X03LE,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L EXP",40.0,40
2.E.27.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.27.2,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.27.3,1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",72.0,72
2.E.27.4,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.28.1,"1101.01.B12X1,5","ALVEJANTE SUPREMA ULTRA BRANQUEADOR-12X1,5L",,40
2.E.28.2,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.28.4,1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",60.0,60
2.E.29.1,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.29.3,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.30.1,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",40.0,40
2.E.30.2,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.30.3,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.30.4,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",39.0,39
2.E.33.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.33.2,1701.33.24X500,"LIMP. MULTI USO SUPREMA LIMP.PESADA-24X500ML",54.0,54
2.E.33.3,1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",72.0,72
2.E.34.1,1201.12.06X02L,"AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X02L",60.0,60
2.E.34.2,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.34.3,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.35.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.35.3,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.35.4,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.36.1,6501.03.12X01L,"REMOVEDOR SUPREMA FLORATA 1 L",70.0,70
