Endereço,Produto,Descrição,Qtde,"Cxs Pallet"
2.E.77.4,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.78.2,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.78.3,1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",72.0,72
2.E.79.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",120.0,60
2.E.79.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.79.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.80.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.81.4,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.82.2,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.82.4,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.83.2,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.83.4,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.84.2,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.84.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.85.2,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.85.3,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.86.2,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.86.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.86.4,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.87.2,1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",72.0,72
2.E.87.4,1501.23.12X01LE,"LAVA ROUPAS SUPREMA ULTRA ACAO-12X01L EXP",60.0,60
2.E.88.2,1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",42.0,42
2.E.88.3,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",39.0,39
2.E.88.4,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.89.3,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",39.0,39
2.E.89.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.90.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.90.2,1501.23.12X01LE,"LAVA ROUPAS SUPREMA ULTRA ACAO-12X01L EXP",60.0,60
2.E.90.4,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.91.2,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.93.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.94.3,1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",60.0,60
2.E.96.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.96.2,1701.30.24X500,"LIMP. MULTI USO SUPREMA TRADICIONAL-24X500ML",54.0,54
2.E.96.3,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.96.4,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",40.0,40
2.E.97.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",120.0,60
2.E.97.2,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.97.3,1701.32.24X500,"LIMP. MULTI USO SUPREMA FRESH-24X500ML",54.0,54
2.E.98.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",84.0,42
2.E.98.2,1001.01.06X02L,"AGUA SANITARIA SUPREMA-06X02L",75.0,75
2.E.98.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.99.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.99.2,1701.51.24X500,"LIMP. MULTI-USO SUPREMA CITRUS 24X500ML",54.0,54
2.E.99.4,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.100.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.100.3,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.101.2,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.101.4,"1101.01.B12X1,5","ALVEJANTE SUPREMA ULTRA BRANQUEADOR-12X1,5L",40.0,40
2.E.102.2,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.102.3,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.102.4,1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",60.0,60
2.E.103.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.103.2,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.103.3,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.104.2,1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",60.0,60
2.E.104.4,6501.04.12X500,"REMOVEDOR SUPREMA VERBENA 500 ML",110.0,110
2.E.105.4,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.106.2,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",39.0,39
2.E.106.3,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.106.4,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.107.1,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",84.0,42
2.E.107.2,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.107.3,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.108.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",120.0,60
2.E.109.4,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.110.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.110.3,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.111.1,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",144.0,72
2.E.111.3,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.112.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",84.0,42
2.E.112.4,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.113.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",120.0,60
2.E.113.4,6501.04.12X500,"REMOVEDOR SUPREMA VERBENA 500 ML",110.0,110
2.E.114.1,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",150.0,75
2.E.114.3,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.114.4,1401.22.03X05LE,"LAVA LOUCAS SUPREMA NEUTRO-03X05L EXP",39.0,39
2.E.115.3,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.115.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.116.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",84.0,42
2.E.116.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.117.1,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",,40
2.E.117.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.117.4,6501.04.12X500,"REMOVEDOR SUPREMA VERBENA 500 ML",110.0,110
2.E.118.1,"1101.01.B12X1,5","ALVEJANTE SUPREMA ULTRA BRANQUEADOR-12X1,5L",80.0,40
2.E.118.3,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.118.4,1401.22.03X05LE,"LAVA LOUCAS SUPREMA NEUTRO-03X05L EXP",39.0,39
2.E.119.3,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.119.4,1401.22.03X05LE,"LAVA LOUCAS SUPREMA NEUTRO-03X05L EXP",39.0,39
2.E.120.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.120.3,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.120.4,1401.22.03X05LE,"LAVA LOUCAS SUPREMA NEUTRO-03X05L EXP",39.0,39
2.E.121.1,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",120.0,60
2.E.121.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.121.4,1401.22.03X05LE,"LAVA LOUCAS SUPREMA NEUTRO-03X05L EXP",39.0,39
2.E.122.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.122.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.122.4,4001.25.03X05L,"CLORO SUPREMA 2,5 - 03X05L",56.0,56
